Time,R-metaX,R-metaY,R-metaZ,R-HeelX,R-HeelY,R-HeelZ,R-MalleolusX,R-MalleolusY,R-MalleolusZ,R-TibialX,R-TibialY,R-TibialZ,R-FemoralX,R-FemoralY,R-FemoralZ,R-GTrochanterX,R-GTrochanterY,R-GTrochanterZ,R-AsisX,R-AsisY,R-AsisZ,L-metaX,L-metaY,L-metaZ,L-HeelX,L-HeelY,L-HeelZ,L-MalleolusX,L-MalleolusY,L-MalleolusZ,L-TibialX,L-TibialY,L-TibialZ,L-FemoralX,L-FemoralY,L-FemoralZ,L-GTrochanterX,L-GTrochanterY,L-GTrochanterZ,L-AsisX,L-AsisY,L-AsisZ,SacrumX,SacrumY,SacrumZ
0,0.157,0.142,0.057,-0.016,0.207,0.032,0.033,0.155,0.067,0.002,0.181,0.443,-0.055,0.136,0.509,-0.207,0.082,0.88,-0.161,0.141,0.979,-0.578,0.392,0.032,-0.705,0.32,0.138,-0.648,0.374,0.128,-0.383,0.341,0.396,-0.369,0.393,0.495,-0.263,0.439,0.891,-0.174,0.386,0.976,-0.369,0.242,0.962
0.02,0.167,0.141,0.044,-0.007,0.205,0.036,0.044,0.153,0.067,0.024,0.183,0.442,-0.033,0.134,0.51,-0.182,0.079,0.88,-0.135,0.138,0.979,-0.574,0.391,0.034,-0.694,0.321,0.153,-0.637,0.375,0.136,-0.362,0.344,0.391,-0.345,0.391,0.494,-0.237,0.435,0.887,-0.148,0.384,0.974,-0.344,0.237,0.962
0.04,0.17,0.145,0.037,-0.004,0.204,0.038,0.056,0.155,0.068,0.045,0.18,0.443,-0.008,0.132,0.512,-0.16,0.075,0.886,-0.112,0.133,0.981,-0.569,0.389,0.038,-0.68,0.319,0.17,-0.622,0.377,0.148,-0.337,0.34,0.394,-0.316,0.39,0.492,-0.209,0.431,0.886,-0.121,0.378,0.972,-0.318,0.234,0.965
0.06,0.17,0.139,0.03,-0.003,0.202,0.04,0.059,0.153,0.067,0.064,0.177,0.442,0.013,0.127,0.516,-0.139,0.072,0.89,-0.087,0.13,0.986,-0.565,0.389,0.043,-0.647,0.322,0.193,-0.61,0.378,0.161,-0.309,0.342,0.39,-0.284,0.388,0.491,-0.183,0.427,0.884,-0.094,0.374,0.973,-0.295,0.235,0.969
0.08,0.171,0.139,0.028,0,0.204,0.04,0.06,0.152,0.068,0.079,0.169,0.443,0.031,0.124,0.517,-0.117,0.067,0.891,-0.066,0.124,0.991,-0.56,0.39,0.048,-0.642,0.32,0.203,-0.592,0.377,0.177,-0.279,0.342,0.386,-0.248,0.389,0.489,-0.157,0.423,0.885,-0.07,0.368,0.977,-0.273,0.235,0.973
0.1,0.173,0.14,0.028,-0.001,0.201,0.043,0.064,0.153,0.066,0.09,0.169,0.443,0.045,0.123,0.517,-0.097,0.062,0.897,-0.044,0.121,0.994,-0.548,0.387,0.063,-0.617,0.321,0.224,-0.568,0.376,0.188,-0.245,0.343,0.386,-0.214,0.389,0.488,-0.134,0.418,0.887,-0.049,0.366,0.979,-0.252,0.233,0.976
0.12,0.174,0.14,0.028,0.002,0.203,0.04,0.064,0.153,0.068,0.102,0.171,0.443,0.057,0.123,0.516,-0.074,0.06,0.903,-0.024,0.118,1,-0.533,0.384,0.077,-0.583,0.313,0.241,-0.538,0.372,0.206,-0.211,0.343,0.387,-0.174,0.389,0.487,-0.112,0.416,0.89,-0.03,0.364,0.985,-0.231,0.23,0.98
0.14,0.175,0.141,0.028,0,0.2,0.043,0.065,0.154,0.066,0.11,0.172,0.441,0.066,0.121,0.515,-0.055,0.058,0.905,-0.002,0.118,1.003,-0.51,0.379,0.09,-0.546,0.305,0.256,-0.507,0.366,0.214,-0.171,0.341,0.387,-0.135,0.388,0.488,-0.093,0.414,0.895,-0.012,0.364,0.99,-0.21,0.224,0.984
0.16,0.175,0.141,0.029,-0.001,0.199,0.042,0.065,0.153,0.066,0.116,0.169,0.44,0.075,0.12,0.516,-0.035,0.056,0.908,0.018,0.116,1.008,-0.48,0.377,0.096,-0.511,0.297,0.264,-0.47,0.36,0.228,-0.132,0.34,0.389,-0.097,0.387,0.491,-0.074,0.411,0.898,0.007,0.362,0.993,-0.19,0.219,0.987
0.18,0.175,0.142,0.028,0,0.201,0.043,0.065,0.153,0.066,0.119,0.165,0.438,0.082,0.12,0.515,-0.016,0.055,0.912,0.038,0.115,1.011,-0.441,0.372,0.104,-0.473,0.292,0.266,-0.433,0.354,0.234,-0.094,0.343,0.394,-0.06,0.389,0.495,-0.054,0.41,0.902,0.027,0.359,0.999,-0.171,0.217,0.992
0.2,0.175,0.141,0.028,-0.001,0.2,0.042,0.067,0.152,0.067,0.125,0.168,0.439,0.088,0.12,0.516,0.001,0.056,0.913,0.055,0.114,1.015,-0.397,0.367,0.101,-0.433,0.29,0.266,-0.391,0.352,0.23,-0.057,0.346,0.398,-0.026,0.391,0.5,-0.036,0.408,0.907,0.044,0.359,1.003,-0.153,0.217,0.996
0.22,0.175,0.141,0.028,0,0.199,0.043,0.065,0.151,0.067,0.132,0.166,0.438,0.094,0.119,0.517,0.019,0.054,0.918,0.072,0.112,1.018,-0.354,0.362,0.093,-0.39,0.288,0.26,-0.353,0.352,0.226,-0.018,0.345,0.401,0.011,0.391,0.504,-0.018,0.408,0.912,0.06,0.358,1.008,-0.136,0.216,0.999
0.24,0.176,0.14,0.027,-0.001,0.197,0.044,0.067,0.151,0.067,0.137,0.166,0.438,0.1,0.119,0.515,0.035,0.054,0.919,0.089,0.111,1.02,-0.3,0.358,0.089,-0.35,0.285,0.252,-0.307,0.348,0.218,0.022,0.344,0.404,0.046,0.389,0.507,0.002,0.407,0.915,0.079,0.357,1.011,-0.119,0.216,1.002
0.26,0.177,0.141,0.027,0.001,0.199,0.044,0.062,0.15,0.066,0.136,0.165,0.436,0.106,0.119,0.513,0.049,0.052,0.918,0.108,0.11,1.021,-0.242,0.358,0.085,-0.309,0.281,0.241,-0.265,0.345,0.212,0.061,0.344,0.407,0.08,0.388,0.511,0.021,0.405,0.917,0.095,0.355,1.015,-0.102,0.215,1.004
0.28,0.175,0.141,0.028,-0.001,0.2,0.043,0.066,0.152,0.067,0.145,0.164,0.437,0.109,0.116,0.514,0.064,0.051,0.919,0.123,0.107,1.02,-0.184,0.361,0.082,-0.264,0.277,0.226,-0.218,0.342,0.201,0.097,0.343,0.412,0.112,0.388,0.515,0.04,0.404,0.92,0.113,0.352,1.017,-0.086,0.215,1.005
0.3,0.176,0.141,0.026,0.002,0.2,0.044,0.062,0.15,0.066,0.147,0.165,0.434,0.115,0.118,0.514,0.076,0.05,0.92,0.139,0.107,1.02,-0.125,0.364,0.074,-0.218,0.274,0.206,-0.17,0.341,0.189,0.133,0.341,0.415,0.143,0.387,0.52,0.056,0.404,0.922,0.129,0.351,1.018,-0.071,0.215,1.007
0.32,0.174,0.139,0.027,0.002,0.202,0.045,0.066,0.153,0.067,0.15,0.168,0.433,0.122,0.119,0.512,0.089,0.05,0.919,0.151,0.103,1.02,-0.062,0.365,0.066,-0.167,0.272,0.186,-0.117,0.339,0.173,0.17,0.34,0.42,0.173,0.384,0.524,0.072,0.404,0.923,0.145,0.35,1.02,-0.055,0.215,1.008
0.34,0.176,0.14,0.027,-0.002,0.199,0.045,0.067,0.155,0.068,0.155,0.169,0.433,0.129,0.121,0.51,0.103,0.049,0.918,0.168,0.103,1.018,0.003,0.367,0.057,-0.112,0.273,0.165,-0.061,0.338,0.154,0.205,0.336,0.424,0.2,0.381,0.525,0.092,0.402,0.924,0.163,0.348,1.02,-0.04,0.215,1.006
0.36,0.174,0.14,0.027,0.001,0.2,0.045,0.063,0.155,0.069,0.16,0.17,0.429,0.134,0.119,0.51,0.118,0.049,0.919,0.184,0.102,1.017,0.068,0.369,0.047,-0.058,0.276,0.143,-0.004,0.342,0.139,0.241,0.333,0.428,0.231,0.378,0.532,0.108,0.401,0.925,0.179,0.346,1.02,-0.024,0.215,1.007
0.38,0.173,0.14,0.027,0.001,0.2,0.045,0.064,0.155,0.067,0.165,0.169,0.428,0.138,0.119,0.508,0.133,0.049,0.915,0.2,0.101,1.017,0.133,0.372,0.043,-0.002,0.278,0.121,0.052,0.342,0.123,0.269,0.33,0.431,0.257,0.373,0.536,0.125,0.401,0.925,0.196,0.345,1.021,-0.008,0.213,1.007
0.4,0.174,0.14,0.027,0.002,0.199,0.046,0.068,0.157,0.067,0.17,0.169,0.429,0.143,0.118,0.508,0.15,0.048,0.916,0.216,0.101,1.015,0.2,0.374,0.037,0.057,0.279,0.103,0.111,0.344,0.11,0.301,0.327,0.438,0.28,0.37,0.538,0.143,0.4,0.925,0.211,0.346,1.019,0.007,0.213,1.005
0.42,0.175,0.139,0.027,0.005,0.208,0.043,0.069,0.157,0.068,0.176,0.168,0.428,0.15,0.118,0.507,0.166,0.047,0.917,0.232,0.1,1.015,0.266,0.374,0.035,0.112,0.283,0.088,0.168,0.343,0.099,0.331,0.323,0.441,0.303,0.367,0.54,0.158,0.401,0.925,0.227,0.345,1.018,0.024,0.213,1.007
0.44,0.177,0.138,0.028,-0.001,0.201,0.05,0.064,0.155,0.065,0.182,0.168,0.426,0.156,0.117,0.505,0.18,0.046,0.913,0.248,0.1,1.013,0.33,0.372,0.036,0.172,0.284,0.075,0.229,0.342,0.089,0.359,0.318,0.444,0.326,0.363,0.539,0.177,0.4,0.924,0.244,0.345,1.018,0.041,0.213,1.005
0.46,0.175,0.138,0.029,0,0.202,0.05,0.064,0.156,0.066,0.189,0.168,0.422,0.164,0.117,0.503,0.196,0.045,0.911,0.265,0.098,1.01,0.392,0.369,0.038,0.233,0.279,0.063,0.283,0.343,0.086,0.384,0.315,0.446,0.347,0.361,0.539,0.195,0.399,0.922,0.263,0.343,1.016,0.057,0.214,1.005
0.48,0.173,0.14,0.028,-0.001,0.205,0.051,0.065,0.158,0.066,0.197,0.169,0.422,0.173,0.118,0.502,0.211,0.046,0.909,0.281,0.097,1.008,0.452,0.367,0.041,0.289,0.282,0.053,0.34,0.342,0.082,0.407,0.314,0.449,0.367,0.359,0.539,0.213,0.399,0.92,0.281,0.342,1.014,0.074,0.213,1.002
0.5,0.175,0.14,0.028,-0.001,0.205,0.052,0.073,0.161,0.071,0.205,0.17,0.42,0.183,0.118,0.5,0.232,0.047,0.905,0.299,0.096,1.005,0.509,0.363,0.046,0.345,0.281,0.047,0.395,0.341,0.079,0.43,0.313,0.451,0.383,0.358,0.537,0.231,0.398,0.917,0.3,0.341,1.011,0.092,0.213,1
0.52,0.175,0.14,0.028,0,0.202,0.057,0.068,0.159,0.07,0.211,0.169,0.417,0.194,0.118,0.499,0.244,0.043,0.905,0.315,0.094,1.003,0.563,0.359,0.055,0.398,0.28,0.045,0.446,0.34,0.08,0.452,0.311,0.451,0.401,0.355,0.534,0.25,0.399,0.915,0.317,0.34,1.008,0.11,0.213,0.996
0.54,0.176,0.14,0.028,0.001,0.205,0.058,0.075,0.163,0.07,0.215,0.17,0.414,0.204,0.116,0.497,0.26,0.043,0.901,0.333,0.094,1,0.612,0.357,0.064,0.448,0.28,0.046,0.495,0.34,0.082,0.474,0.307,0.452,0.419,0.353,0.531,0.269,0.398,0.91,0.338,0.339,1.005,0.13,0.215,0.991
0.56,0.174,0.14,0.028,0.002,0.206,0.059,0.07,0.159,0.073,0.229,0.169,0.412,0.216,0.117,0.495,0.278,0.042,0.902,0.351,0.093,0.998,0.657,0.354,0.073,0.491,0.276,0.046,0.538,0.337,0.084,0.493,0.306,0.452,0.436,0.351,0.527,0.29,0.398,0.907,0.358,0.339,1.001,0.148,0.216,0.989
0.58,0.173,0.141,0.028,0.004,0.206,0.065,0.071,0.162,0.075,0.24,0.169,0.411,0.225,0.116,0.494,0.296,0.044,0.897,0.369,0.093,0.996,0.693,0.354,0.079,0.533,0.272,0.047,0.575,0.335,0.087,0.514,0.304,0.453,0.455,0.351,0.525,0.312,0.397,0.904,0.378,0.337,0.999,0.167,0.217,0.986
0.6,0.173,0.141,0.029,0.004,0.21,0.067,0.072,0.162,0.077,0.249,0.17,0.409,0.235,0.116,0.493,0.317,0.045,0.893,0.387,0.091,0.994,0.725,0.352,0.082,0.564,0.268,0.05,0.606,0.332,0.088,0.534,0.307,0.451,0.473,0.351,0.521,0.333,0.397,0.901,0.399,0.337,0.996,0.186,0.219,0.98
0.62,0.174,0.142,0.028,0.005,0.212,0.072,0.073,0.163,0.081,0.262,0.17,0.409,0.248,0.116,0.492,0.334,0.046,0.894,0.406,0.091,0.991,0.75,0.352,0.083,0.591,0.266,0.048,0.631,0.329,0.087,0.557,0.305,0.451,0.492,0.349,0.519,0.353,0.398,0.899,0.42,0.338,0.993,0.209,0.219,0.977
0.64,0.174,0.143,0.028,0.007,0.211,0.077,0.076,0.163,0.085,0.274,0.168,0.407,0.264,0.116,0.492,0.352,0.043,0.893,0.427,0.091,0.989,0.769,0.353,0.078,0.611,0.263,0.046,0.65,0.327,0.083,0.581,0.305,0.447,0.515,0.348,0.517,0.376,0.399,0.897,0.444,0.338,0.992,0.231,0.221,0.978
0.66,0.174,0.142,0.028,0.009,0.21,0.085,0.079,0.162,0.089,0.287,0.168,0.404,0.282,0.116,0.49,0.372,0.047,0.889,0.449,0.091,0.987,0.781,0.351,0.072,0.625,0.258,0.043,0.663,0.324,0.079,0.604,0.305,0.444,0.539,0.347,0.515,0.401,0.399,0.895,0.467,0.339,0.989,0.253,0.223,0.976
0.68,0.172,0.142,0.029,0.014,0.21,0.094,0.081,0.161,0.095,0.302,0.167,0.404,0.295,0.113,0.492,0.397,0.049,0.888,0.472,0.092,0.986,0.791,0.348,0.062,0.634,0.256,0.037,0.674,0.321,0.073,0.626,0.303,0.442,0.564,0.346,0.515,0.426,0.399,0.894,0.491,0.339,0.986,0.275,0.224,0.974
0.7,0.175,0.142,0.028,0.019,0.206,0.104,0.085,0.158,0.103,0.318,0.167,0.401,0.317,0.115,0.489,0.417,0.049,0.887,0.496,0.092,0.984,0.8,0.341,0.051,0.638,0.255,0.036,0.68,0.317,0.067,0.648,0.303,0.438,0.587,0.346,0.514,0.45,0.401,0.892,0.517,0.339,0.986,0.299,0.226,0.973
0.72,0.175,0.141,0.028,0.025,0.201,0.117,0.092,0.154,0.111,0.339,0.165,0.4,0.34,0.113,0.488,0.441,0.052,0.886,0.519,0.092,0.982,0.811,0.336,0.037,0.644,0.254,0.039,0.687,0.315,0.066,0.67,0.299,0.436,0.61,0.346,0.512,0.476,0.404,0.892,0.542,0.34,0.986,0.325,0.229,0.972
0.74,0.179,0.141,0.03,0.037,0.194,0.134,0.101,0.147,0.123,0.362,0.162,0.399,0.368,0.112,0.487,0.469,0.052,0.885,0.547,0.095,0.981,0.815,0.333,0.031,0.646,0.259,0.042,0.698,0.318,0.068,0.692,0.296,0.438,0.637,0.347,0.517,0.503,0.405,0.898,0.566,0.342,0.989,0.35,0.231,0.971
0.76,0.18,0.14,0.03,0.054,0.194,0.153,0.111,0.145,0.131,0.389,0.16,0.396,0.4,0.11,0.485,0.5,0.056,0.883,0.574,0.097,0.984,0.817,0.335,0.028,0.65,0.261,0.044,0.698,0.32,0.068,0.711,0.295,0.439,0.664,0.346,0.521,0.526,0.406,0.903,0.59,0.344,0.995,0.375,0.23,0.974
0.78,0.184,0.141,0.033,0.073,0.191,0.171,0.129,0.141,0.146,0.421,0.151,0.394,0.434,0.106,0.486,0.524,0.059,0.884,0.599,0.1,0.986,0.819,0.338,0.025,0.659,0.261,0.04,0.704,0.318,0.067,0.728,0.294,0.44,0.685,0.345,0.525,0.547,0.409,0.908,0.613,0.345,1,0.398,0.228,0.98
0.8,0.191,0.141,0.038,0.099,0.186,0.191,0.154,0.136,0.16,0.456,0.146,0.393,0.474,0.103,0.484,0.547,0.062,0.886,0.621,0.103,0.989,0.819,0.337,0.027,0.65,0.264,0.045,0.709,0.318,0.067,0.742,0.295,0.439,0.701,0.346,0.526,0.568,0.411,0.911,0.634,0.348,1.004,0.422,0.227,0.983
